activity_id,user_id,activity_type,duration_min,calories_burned,distance_km,date
act-000001,user-0001,swimming,60,666,0.0,2025-08-17 01:16:36
act-000002,user-0001,walking,21,90,3.08,2025-08-01 13:51:23
act-000003,user-0001,cycling,61,403,4.88,2025-09-19 09:41:04
act-000004,user-0001,yoga,32,113,0.0,2025-10-18 11:59:31
act-000005,user-0002,running,39,324,5.45,2025-09-07 08:36:44
act-000006,user-0002,walking,34,150,4.76,2025-10-18 07:41:24
act-000007,user-0002,cycling,43,341,5.58,2025-08-18 17:45:57
act-000008,user-0003,weight_training,15,87,0.0,2025-08-02 06:24:58
act-000009,user-0003,running,84,695,10.59,2025-08-20 16:54:47
act-000010,user-0003,walking,85,359,7.18,2025-10-16 02:52:09
act-000011,user-0003,swimming,84,1141,0.0,2025-09-04 14:54:28
act-000012,user-0003,cycling,17,116,1.74,2025-10-17 18:39:08
act-000013,user-0003,weight_training,27,186,0.0,2025-09-25 07:49:13
act-000014,user-0004,yoga,89,233,0.0,2025-08-09 22:31:31
act-000015,user-0004,yoga,81,207,0.0,2025-09-14 11:43:39
act-000016,user-0004,running,116,1343,12.63,2025-08-23 10:58:20
act-000017,user-0004,walking,30,132,4.41,2025-09-24 20:35:31
act-000018,user-0004,walking,76,302,10.31,2025-08-14 21:08:14
act-000019,user-0004,yoga,84,246,0.0,2025-08-09 00:36:43
act-000020,user-0005,weight_training,79,544,0.0,2025-10-24 05:38:10
act-000021,user-0005,walking,60,287,8.35,2025-08-02 18:10:02
act-000022,user-0005,walking,52,239,5.94,2025-09-10 11:48:09
act-000023,user-0005,walking,59,278,5.46,2025-10-11 04:46:35
act-000024,user-0006,walking,59,232,8.45,2025-10-18 07:09:19
act-000025,user-0006,cycling,17,160,1.37,2025-08-29 01:50:41
act-000026,user-0006,walking,68,300,6.47,2025-09-13 18:30:21
act-000027,user-0006,yoga,101,258,0.0,2025-08-11 13:03:52
act-000028,user-0006,running,103,1066,12.4,2025-08-24 16:54:22
act-000029,user-0006,yoga,15,39,0.0,2025-09-09 03:15:23
act-000030,user-0007,yoga,57,174,0.0,2025-08-05 02:06:13
act-000031,user-0007,cycling,37,354,4.68,2025-09-30 01:59:44
act-000032,user-0007,swimming,68,723,0.0,2025-08-19 04:42:13
act-000033,user-0008,weight_training,65,342,0.0,2025-08-24 09:42:07
act-000034,user-0008,running,68,771,9.96,2025-08-31 08:59:04
act-000035,user-0008,yoga,66,163,0.0,2025-10-16 03:12:11
act-000036,user-0009,running,29,252,4.07,2025-08-14 19:08:10
act-000037,user-0009,running,72,838,8.2,2025-07-29 03:22:42
act-000038,user-0009,swimming,109,1109,0.0,2025-09-07 04:12:40
act-000039,user-0009,cycling,84,745,8.25,2025-10-08 17:18:39
act-000040,user-0009,weight_training,85,537,0.0,2025-10-21 11:52:51
act-000041,user-0009,walking,79,367,9.04,2025-09-14 07:29:42
act-000042,user-0009,yoga,90,283,0.0,2025-09-20 04:29:46
act-000043,user-0010,walking,91,435,8.94,2025-10-10 10:44:53
act-000044,user-0010,walking,48,206,6.7,2025-08-30 13:22:21
act-000045,user-0010,walking,37,170,3.32,2025-10-07 01:29:39
act-000046,user-0010,yoga,18,60,0.0,2025-09-21 15:52:04
act-000047,user-0010,weight_training,92,445,0.0,2025-10-21 21:22:17
act-000048,user-0010,swimming,32,327,0.0,2025-09-27 05:40:33
act-000049,user-0011,running,59,628,6.63,2025-08-24 04:24:51
act-000050,user-0011,swimming,113,1209,0.0,2025-10-14 20:21:07
act-000051,user-0011,yoga,69,196,0.0,2025-09-02 23:12:32
act-000052,user-0011,weight_training,105,595,0.0,2025-08-26 11:16:24
act-000053,user-0011,walking,57,217,6.19,2025-07-26 22:23:26
act-000054,user-0011,yoga,84,245,0.0,2025-09-15 08:59:29
act-000055,user-0012,swimming,57,668,0.0,2025-09-03 20:06:22
act-000056,user-0012,walking,52,233,6.24,2025-09-20 03:42:44
act-000057,user-0012,weight_training,21,147,0.0,2025-08-23 04:32:34
act-000058,user-0012,swimming,110,1139,0.0,2025-10-17 11:24:43
act-000059,user-0012,walking,22,77,3.12,2025-09-17 08:59:12
act-000060,user-0013,cycling,102,678,9.65,2025-09-18 08:59:14
act-000061,user-0013,running,29,305,4.07,2025-10-07 12:16:06
act-000062,user-0013,running,37,322,3.79,2025-08-22 06:42:31
act-000063,user-0013,running,80,875,8.01,2025-10-21 15:34:54
act-000064,user-0013,weight_training,109,760,0.0,2025-08-21 10:05:11
act-000065,user-0014,weight_training,46,322,0.0,2025-07-28 12:21:58
act-000066,user-0014,weight_training,37,197,0.0,2025-09-22 13:34:38
act-000067,user-0014,walking,64,288,8.09,2025-09-18 23:36:24
act-000068,user-0014,weight_training,114,740,0.0,2025-09-23 08:48:28
act-000069,user-0014,yoga,73,193,0.0,2025-09-30 11:13:36
act-000070,user-0014,cycling,115,894,15.34,2025-08-30 11:13:34
act-000071,user-0015,weight_training,42,244,0.0,2025-09-24 16:02:51
act-000072,user-0015,walking,70,242,8.32,2025-10-10 12:48:28
act-000073,user-0015,weight_training,25,120,0.0,2025-09-26 15:40:53
act-000074,user-0015,weight_training,113,604,0.0,2025-09-04 02:57:54
act-000075,user-0015,swimming,87,988,0.0,2025-09-15 13:02:33
act-000076,user-0015,cycling,24,225,2.17,2025-09-26 21:08:21
act-000077,user-0016,yoga,54,143,0.0,2025-10-14 00:43:54
act-000078,user-0016,yoga,45,119,0.0,2025-10-15 11:05:51
act-000079,user-0016,weight_training,37,207,0.0,2025-09-15 13:50:25
act-000080,user-0016,walking,88,337,9.64,2025-08-26 22:33:27
act-000081,user-0016,cycling,64,453,7.22,2025-10-20 06:00:35
act-000082,user-0016,weight_training,114,656,0.0,2025-08-17 04:23:32
act-000083,user-0017,walking,50,205,5.87,2025-08-24 00:23:03
act-000084,user-0017,cycling,24,216,2.89,2025-08-18 00:13:49
act-000085,user-0017,cycling,64,558,7.83,2025-10-13 11:26:06
act-000086,user-0017,cycling,48,435,6.66,2025-07-30 00:47:25
act-000087,user-0017,running,87,931,7.6,2025-10-13 20:04:38
act-000088,user-0018,weight_training,119,671,0.0,2025-07-29 06:38:23
act-000089,user-0018,weight_training,34,227,0.0,2025-10-09 21:28:04
act-000090,user-0018,walking,64,214,6.65,2025-08-10 14:40:31
act-000091,user-0018,walking,48,178,4.75,2025-09-10 06:38:04
act-000092,user-0018,walking,37,164,5.29,2025-09-08 17:55:54
act-000093,user-0018,cycling,116,761,16.1,2025-09-30 10:39:18
act-000094,user-0019,running,100,879,11.81,2025-09-11 02:31:59
act-000095,user-0019,running,117,1085,15.08,2025-10-04 11:25:18
act-000096,user-0019,running,85,868,9.2,2025-08-14 17:25:37
act-000097,user-0020,weight_training,67,357,0.0,2025-08-09 01:48:50
act-000098,user-0020,swimming,103,1310,0.0,2025-08-31 04:22:02
act-000099,user-0020,cycling,87,630,7.74,2025-07-30 20:57:40
act-000100,user-0021,walking,113,397,12.69,2025-09-21 17:22:51
act-000101,user-0021,running,75,644,10.7,2025-10-07 04:23:47
act-000102,user-0021,yoga,32,98,0.0,2025-08-19 12:12:08
act-000103,user-0021,cycling,74,683,6.68,2025-08-07 06:22:53
act-000104,user-0021,swimming,99,1379,0.0,2025-10-19 06:27:33
act-000105,user-0021,swimming,102,1050,0.0,2025-08-06 17:21:20
act-000106,user-0021,cycling,35,243,3.44,2025-08-19 13:25:11
act-000107,user-0022,yoga,54,154,0.0,2025-09-09 01:32:37
act-000108,user-0022,running,59,529,6.82,2025-08-22 21:47:13
act-000109,user-0022,yoga,20,67,0.0,2025-10-13 22:23:02
act-000110,user-0022,running,73,668,6.1,2025-08-04 20:35:19
act-000111,user-0022,weight_training,35,210,0.0,2025-09-28 05:48:41
act-000112,user-0022,swimming,42,516,0.0,2025-09-19 16:15:22
act-000113,user-0022,cycling,29,225,4.26,2025-08-18 16:24:50
act-000114,user-0022,weight_training,64,443,0.0,2025-08-28 03:20:22
act-000115,user-0023,weight_training,87,619,0.0,2025-08-22 08:07:10
act-000116,user-0023,running,27,220,2.32,2025-08-26 09:42:39
act-000117,user-0023,walking,52,210,7.35,2025-08-10 20:46:43
act-000118,user-0023,walking,37,148,4.59,2025-09-23 21:47:26
act-000119,user-0023,cycling,74,522,6.56,2025-09-16 09:19:17
act-000120,user-0024,swimming,117,1390,0.0,2025-08-01 19:18:57
act-000121,user-0024,running,23,197,2.45,2025-08-27 04:03:16
act-000122,user-0024,swimming,120,1179,0.0,2025-08-11 09:50:40
act-000123,user-0024,running,114,1237,9.83,2025-09-07 21:08:54
act-000124,user-0024,walking,50,197,6.14,2025-08-15 23:50:21
act-000125,user-0024,weight_training,71,485,0.0,2025-08-19 15:25:11
act-000126,user-0024,running,87,865,7.38,2025-08-24 11:12:15
act-000127,user-0024,cycling,100,925,12.41,2025-09-04 07:36:12
act-000128,user-0025,weight_training,120,606,0.0,2025-09-28 04:32:44
act-000129,user-0025,walking,61,200,6.7,2025-08-29 08:41:53
act-000130,user-0025,walking,62,246,7.64,2025-08-13 01:33:35
act-000131,user-0025,swimming,114,1210,0.0,2025-10-11 16:37:05
act-000132,user-0025,running,103,977,8.29,2025-08-13 20:43:21
act-000133,user-0025,walking,54,233,6.69,2025-08-29 17:13:35
act-000134,user-0026,yoga,97,329,0.0,2025-10-21 02:44:12
act-000135,user-0026,swimming,30,296,0.0,2025-08-05 21:37:39
act-000136,user-0026,swimming,88,1130,0.0,2025-10-09 04:39:35
act-000137,user-0026,yoga,88,219,0.0,2025-10-12 19:23:31
act-000138,user-0026,cycling,95,629,8.95,2025-10-04 14:31:02
act-000139,user-0027,weight_training,76,492,0.0,2025-08-31 14:57:46
act-000140,user-0027,walking,89,348,7.64,2025-09-26 10:07:58
act-000141,user-0027,running,40,389,4.57,2025-07-28 01:13:19
act-000142,user-0027,yoga,116,406,0.0,2025-07-31 03:57:14
act-000143,user-0027,weight_training,40,259,0.0,2025-10-18 19:39:50
act-000144,user-0028,running,30,279,3.33,2025-10-22 00:32:45
act-000145,user-0028,weight_training,52,267,0.0,2025-09-04 17:19:33
act-000146,user-0028,swimming,74,1017,0.0,2025-07-30 10:25:54
act-000147,user-0029,yoga,50,151,0.0,2025-09-17 17:58:25
act-000148,user-0029,weight_training,20,114,0.0,2025-09-03 16:38:00
